epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,595.784,1.22527,0.83028,0.99424,0.91934,0.8577,0.9164,0.63949,1.04845,0.61423,0.9063,0.0700336,0.0033296,0.0033296
2,1161.13,1.01401,0.64733,0.92431,0.92514,0.86721,0.92522,0.62148,1.10369,0.59233,0.90801,0.0398687,0.00649803,0.00649803
3,1714.8,0.95797,0.60221,0.91215,0.91964,0.86924,0.92469,0.64995,1.04923,0.57496,0.89524,0.00953878,0.00950145,0.00950145
4,2265.33,0.92399,0.57157,0.90381,0.93305,0.88575,0.94037,0.62547,1.15548,0.56167,0.91354,0.0092575,0.0092575,0.0092575
5,2816.48,0.90546,0.56174,0.8978,0.93922,0.89112,0.94511,0.64617,1.09177,0.53561,0.89768,0.00901,0.00901,0.00901
6,3367.15,0.89884,0.54878,0.89497,0.93942,0.89022,0.945,0.6327,1.12824,0.539,0.90699,0.0087625,0.0087625,0.0087625
7,3917.85,0.87924,0.53438,0.891,0.94274,0.89274,0.94934,0.67414,1.01838,0.50875,0.88713,0.008515,0.008515,0.008515
8,4454.14,0.87511,0.53444,0.89223,0.94407,0.89032,0.94834,0.65833,1.08412,0.52153,0.89533,0.0082675,0.0082675,0.0082675
9,4984.78,0.86564,0.52638,0.88926,0.94416,0.89272,0.94813,0.64305,1.11761,0.53272,0.90091,0.00802,0.00802,0.00802
10,5516.22,0.85871,0.51941,0.88727,0.93129,0.89534,0.94601,0.64321,1.12691,0.5194,0.90359,0.0077725,0.0077725,0.0077725
11,6047.77,0.86167,0.51186,0.88865,0.92871,0.89056,0.94365,0.67648,1.00079,0.50214,0.88602,0.007525,0.007525,0.007525
12,6580.04,0.84265,0.50307,0.88383,0.94408,0.89624,0.95008,0.66678,1.05546,0.49588,0.89421,0.0072775,0.0072775,0.0072775
13,7112.33,0.84612,0.50479,0.88462,0.94538,0.89684,0.95151,0.66514,1.05799,0.4931,0.89135,0.00703,0.00703,0.00703
14,7650.27,0.84026,0.50103,0.88348,0.9399,0.89573,0.94855,0.67789,0.99952,0.49438,0.88474,0.0067825,0.0067825,0.0067825
15,8182.24,0.83345,0.49643,0.88296,0.94037,0.8949,0.9478,0.6491,1.10362,0.50574,0.90105,0.006535,0.006535,0.006535
16,8720.78,0.83149,0.49574,0.88218,0.94739,0.89856,0.9563,0.68069,1.01713,0.48022,0.88489,0.0062875,0.0062875,0.0062875
17,9252.05,0.82221,0.48632,0.88127,0.94504,0.89783,0.95238,0.67,1.04764,0.49119,0.89178,0.00604,0.00604,0.00604
18,9784.04,0.81506,0.47829,0.87765,0.94385,0.90086,0.95245,0.66809,1.04315,0.48033,0.88849,0.0057925,0.0057925,0.0057925
19,10315.5,0.81078,0.47587,0.87767,0.95093,0.89664,0.95634,0.66939,1.04922,0.47895,0.89134,0.005545,0.005545,0.005545
20,10853.2,0.80952,0.47526,0.87568,0.9419,0.90435,0.95433,0.66496,1.06431,0.48271,0.89265,0.0052975,0.0052975,0.0052975
21,11391.2,0.80418,0.47232,0.87577,0.94805,0.90339,0.95592,0.6687,1.06655,0.47508,0.8927,0.00505,0.00505,0.00505
22,11922.6,0.8018,0.46854,0.87612,0.94733,0.90146,0.95554,0.67551,1.03602,0.4772,0.887,0.0048025,0.0048025,0.0048025
23,12459.9,0.79161,0.46519,0.87323,0.94241,0.90229,0.95571,0.65852,1.09252,0.4911,0.8953,0.004555,0.004555,0.004555
24,12998.1,0.79213,0.46049,0.8728,0.94626,0.90208,0.95769,0.66165,1.08403,0.47946,0.89417,0.0043075,0.0043075,0.0043075
25,13528.9,0.78853,0.45756,0.87235,0.94862,0.90288,0.95822,0.66382,1.06813,0.47807,0.89323,0.00406,0.00406,0.00406
26,14067.1,0.78446,0.45365,0.87157,0.95031,0.90478,0.95674,0.66063,1.0926,0.47548,0.89892,0.0038125,0.0038125,0.0038125
27,14598.7,0.78174,0.45462,0.86971,0.94689,0.90284,0.95731,0.66059,1.07016,0.47741,0.89433,0.003565,0.003565,0.003565
28,15130.6,0.7822,0.45108,0.8707,0.94477,0.90654,0.95798,0.65936,1.09626,0.47513,0.89831,0.0033175,0.0033175,0.0033175
29,15673.9,0.77581,0.44574,0.86934,0.95268,0.90023,0.95892,0.66257,1.09023,0.47333,0.89647,0.00307,0.00307,0.00307
30,16245.4,0.76964,0.44095,0.86771,0.9459,0.90518,0.95907,0.67313,1.05938,0.46345,0.89001,0.0028225,0.0028225,0.0028225
31,16901.7,0.76032,0.43823,0.86727,0.93401,0.90155,0.95005,0.63969,1.13519,0.5016,0.90863,0.002575,0.002575,0.002575
32,17438.1,0.75656,0.43178,0.86716,0.94839,0.9072,0.95677,0.64061,1.15635,0.48703,0.91217,0.0023275,0.0023275,0.0023275
33,17974.1,0.75391,0.42904,0.86609,0.94657,0.90667,0.95763,0.63891,1.16104,0.48879,0.91432,0.00208,0.00208,0.00208
34,18509.8,0.75051,0.42308,0.8639,0.95084,0.90411,0.95604,0.62429,1.21238,0.50129,0.92289,0.0018325,0.0018325,0.0018325
35,19044.3,0.74261,0.41871,0.8621,0.94846,0.90823,0.95667,0.62461,1.21258,0.5013,0.92624,0.001585,0.001585,0.001585
36,19607.1,0.74007,0.41582,0.862,0.9484,0.9063,0.95408,0.59019,1.31634,0.52892,0.94856,0.0013375,0.0013375,0.0013375
